Topic, Twitter Link
list_operations_basic, https://twitter.com/rhoitjad/status/1376111092489801731
list_operations_intermediate, https://twitter.com/rhoitjad/status/1380874651681746947
list_operations_advanced1, https://twitter.com/rhoitjad/status/1390708170696269826
list_comprehensions, https://twitter.com/rhoitjad/status/1391075607123959809
list_comprehensions_conditional, https://twitter.com/rhoitjad/status/1391370750406270977
dict_operations_basic1, https://twitter.com/rhoitjadhav/status/1391641851833176067
dict_operations_basic2, https://twitter.com/rhoitjadhav/status/1391992672332652555
dict_operations_basic3, https://twitter.com/rhoitjadhav/status/1392346749566525443
dict_operations_basic4, https://twitter.com/rhoitjadhav/status/1392714213043310592
dict_operations_intermediate1, https://twitter.com/rhoitjadhav/status/1393101628887080960
dict_operations_intermediate2, https://twitter.com/rhoitjadhav/status/1393466464489787394
dict_comprehensions, https://twitter.com/rhoitjadhav/status/1393802969338957825
dict_comprehensions_conditional, https://twitter.com/rhoitjadhav/status/1394152302861189122
nested_dict, https://twitter.com/rhoitjadhav/status/1394533094984617987
nested_list, https://twitter.com/rhoitjadhav/status/1394898995768561668
list_with_multiple_datatype, https://twitter.com/rhoitjadhav/status/1395254399824318468
negative_indexing_in_list, https://twitter.com/rhoitjadhav/status/1395604009055002629
